ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Filtered_include_multiple_multi_level_includes_with_first_level_using_filter_include_on_one_of_the_chains_only	2
ComplexNavigationsCollectionsSplitQueryXuguTest	SelectMany_with_predicate_and_DefaultIfEmpty_projecting_root_collection_element_and_another_collection	2
ComplexNavigationsCollectionsQueryXuguTest	Skip_Take_on_grouping_element_inside_collection_projection	2
TPCGearsOfWarQueryXuguTest	Correlated_collections_inner_subquery_predicate_references_outer_qsre	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Projecting_collection_after_optional_reference_correlated_with_parent	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Skip_Take_Select_collection_Skip_Take	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Filtered_include_Take_with_another_Take_on_top_level	2
TPCGearsOfWarQueryXuguTest	Correlated_collections_nested_inner_subquery_references_outer_qsre_one_level_up	2
ComplexNavigationsCollectionsQueryXuguTest	Filtered_include_multiple_multi_level_includes_with_first_level_using_filter_include_on_one_of_the_chains_only	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	SelectMany_with_predicate_and_DefaultIfEmpty_projecting_root_collection_element_and_another_collection	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Filtered_include_and_non_filtered_include_followed_by_then_include_on_same_navigation	2
ComplexNavigationsSharedTypeQueryXGTest	Single_select_many_in_projection_with_take	2
TPCGearsOfWarQueryXuguTest	Subquery_projecting_non_nullable_scalar_contains_non_nullable_value_doesnt_need_null_expansion_negated	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Complex_query_with_let_collection_projection_FirstOrDefault_with_ToList_on_inner_and_outer	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Skip_Take_on_grouping_element_with_reference_include	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Projecting_collection_after_optional_reference_correlated_with_parent	2
ComplexNavigationsCollectionsQueryXuguTest	Filtered_include_Take_with_another_Take_on_top_level	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Filtered_include_and_non_filtered_include_followed_by_then_include_on_same_navigation	2
ComplexNavigationsCollectionsQueryXuguTest	Skip_Take_on_grouping_element_with_collection_include	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Projecting_collection_with_group_by_after_optional_reference_correlated_with_parent	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Complex_query_issue_21665	2
ComplexNavigationsCollectionsQueryXuguTest	SelectMany_with_predicate_and_DefaultIfEmpty_projecting_root_collection_element_and_another_collection	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Skip_Take_Distinct_on_grouping_element	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Skip_Take_Select_collection_Skip_Take	2
ComplexNavigationsSharedTypeQueryXGTest	Let_let_contains_from_outer_let	2
TPCGearsOfWarQueryXuguTest	Correlated_collection_with_groupby_not_projecting_identifier_column_but_only_grouping_key_in_final_projection	2
ComplexNavigationsQueryXuguTest	Multiple_select_many_in_projection	2
TPCGearsOfWarQueryXuguTest	Outer_parameter_in_group_join_with_DefaultIfEmpty	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Complex_query_with_let_collection_projection_FirstOrDefault	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Filtered_include_Skip_Take_with_another_Skip_Take_on_top_level	2
TPCGearsOfWarQueryXuguTest	Correlated_collection_with_groupby_not_projecting_identifier_column_with_group_aggregate_in_final_projection	2
ComplexNavigationsCollectionsQueryXuguTest	Skip_Take_Select_collection_Skip_Take	2
ComplexNavigationsCollectionsQueryXuguTest	Filtered_include_and_non_filtered_include_followed_by_then_include_on_same_navigation	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Projecting_collection_with_group_by_after_optional_reference_correlated_with_parent	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Filtered_include_with_Take_without_order_by_followed_by_ThenInclude_and_FirstOrDefault_on_top_level	2
ComplexNavigationsCollectionsQueryXuguTest	Filtered_include_with_Take_without_order_by_followed_by_ThenInclude_and_unordered_Take_on_top_level	2
ComplexNavigationsCollectionsQueryXuguTest	Skip_Take_Distinct_on_grouping_element	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Filtered_include_with_Take_without_order_by_followed_by_ThenInclude_and_FirstOrDefault_on_top_level	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Skip_Take_Select_collection_Skip_Take	2
TPCGearsOfWarQueryXuguTest	Correlated_collection_with_distinct_not_projecting_identifier_column	2
ComplexNavigationsQueryXuguTest	Single_select_many_in_projection_with_take	2
TPTGearsOfWarQueryXuguTest	Outer_parameter_in_join_key	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Filtered_include_with_Take_without_order_by_followed_by_ThenInclude_and_unordered_Take_on_top_level	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Filtered_include_outer_parameter_used_inside_filter	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Skip_Take_on_grouping_element_with_reference_include	2
PrimitiveCollectionsQueryXuguTest	Project_inline_collection_with_Union	2
ComplexNavigationsCollectionsQueryXuguTest	Filtered_include_outer_parameter_used_inside_filter	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Filtered_include_Take_with_another_Take_on_top_level	2
TPCGearsOfWarQueryXuguTest	Correlated_collection_via_SelectMany_with_Distinct_missing_indentifying_columns_in_projection	2
ComplexNavigationsCollectionsQueryXuguTest	Filtered_include_after_different_filtered_include_different_level	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Filtered_include_Take_with_another_Take_on_top_level	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Filtered_include_and_non_filtered_include_followed_by_then_include_on_same_navigation	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Filtered_include_same_filter_set_on_same_navigation_twice_followed_by_ThenIncludes	2
ComplexNavigationsCollectionsSharedTypeQueryXuguTest	Complex_query_with_let_collection_projection_FirstOrDefault_with_ToList_on_inner_and_outer	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Projecting_collection_with_group_by_after_optional_reference_correlated_with_parent	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Projecting_collection_after_optional_reference_correlated_with_parent	2
ComplexNavigationsCollectionsQueryXuguTest	Projecting_collection_with_group_by_after_optional_reference_correlated_with_parent	2
ComplexNavigationsQueryXuguTest	Nested_SelectMany_correlated_with_join_table_correctly_translated_to_apply	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Take_Select_collection_Take	2
ComplexNavigationsCollectionsQueryXuguTest	Projecting_collection_after_optional_reference_correlated_with_parent	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Filtered_include_same_filter_set_on_same_navigation_twice_followed_by_ThenIncludes	2
ComplexNavigationsSharedTypeQueryXGTest	Correlated_projection_with_first	2
TPCGearsOfWarQueryXuguTest	Outer_parameter_in_join_key	2
TPCGearsOfWarQueryXuguTest	Outer_parameter_in_join_key_inner_and_outer	2
ComplexNavigationsCollectionsSplitSharedTypeQueryXuguTest	Filtered_include_with_Take_without_order_by_followed_by_ThenInclude_and_unordered_Take_on_top_level	2
TPCGearsOfWarQueryXuguTest	Correlated_collections_nested_inner_subquery_references_outer_qsre_two_levels_up	2
ComplexNavigationsCollectionsSplitQueryXuguTest	Take_Select_collection_Take	2
TPCGearsOfWarQueryXuguTest	Subquery_projecting_nullable_scalar_contains_nullable_value_needs_null_expansion	2
